SiteNumber,Name,Latitude,Longitude,Date,AvgSiteTemp,SDSiteTemp,Salinity,pH,NitrateNitrite,Ammonium,Silicate,Coral,Gorgonians,Sponges,Zoanthids,Macroalgae,CCA,Other,Rubble,ACER,AAGA,ATEN,DLAB,FFRA,HCUC,MALC,MCOM,MDEC,MCAV,MYCE,OANN,OFAV,OFRA,PAST,PDIV,PFUR,PPOR,SINT,SRAD,SSID,Amphiroa,Dictyota,Halimeda,Lobophora,Cyanobacteria,TurfAlgae,CoralCover,MacroCover,CoralRich,CoralShan,CoralSimp,MacroShan,MacroSimp
1,Fish Den,16.3173329,-86.5887143,7/16/23,29.23,0.16,31.8,8.13,0.087,0.015,1.885,0.0981,0.0244,0.0103,0,0.6279,0.0223,0,0.217,0,0.0281,0,0,0,0,0,0,0,0,0,0.0119,0.0328,0.0011,0.0038,0.0027,0.0149,0,0.0027,0,0,0.0398,0.0873,0.0593,0.0762,0.0078,0.3506,0.0981,0.6279,8,1.641256517,0.764754269,1.311351828,0.633053902
2,Leo's Den,16.363444,-86.518296,7/18/23,29.38,0.12,32.2,8.18,0.553,1.652,3.056,0.1252,0.046,0.0012,0,0.522,0.0707,0,0.2349,0,0.0229,0.0315,0,0.0012,0,0.0025,0.0025,0,0,0,0.0072,0,0.0011,0.0187,0,0,0.0349,0,0,0.0025,0.0133,0.1403,0.0316,0.0769,0.0025,0.245,0.1252,0.522,10,1.784057624,0.7979136,1.286240959,0.665741161
3,B-S Deep,16.3546406,-86.5381568,7/18/23,29.43,0.12,33.2,8.06,0.682,0.415,2.345,0.0817,0.0215,0,0,0.7193,0.0669,0.0013,0.1094,0,0.033,0,0,0,0,0,0,0.0032,0,0,0,0.0303,0.0013,0.0139,0,0,0,0,0,0,0.0259,0.0871,0.0734,0.0551,0.0199,0.4578,0.0817,0.7193,5,1.228158822,0.668574314,1.191895611,0.56180138
4,White Hole,16.3376343,-86.5664089,7/19/23,29.48,0.05,33,8.22,0.401,0.38,2.784,0.1041,0.0417,0.0045,0.0011,0.5244,0.0631,0,0.2611,0,0.0571,0,0,0,0,0.0057,0,0,0.0037,0,0.0068,0.0035,0,0.0181,0,0,0.0011,0.0081,0,0,0.0081,0.1143,0.0335,0.0559,0.0068,0.3045,0.1041,0.5244,8,1.450304002,0.653079642,1.183274052,0.597477627
5,Wicked Pissa,16.3563677,-86.5351919,7/20/23,29.35,0.12,32.6,8.27,0.711,1.199,2.174,0.0991,0,0.0012,0.0023,0.6437,0.0296,0,0.2241,0,0.0559,0,0,0,0.0023,0,0,0,0,0,0,0.0269,0.0012,0.0128,0,0,0,0,0,0,0.0348,0.058,0.056,0.0819,0.0297,0.3809,0.0991,0.6437,5,1.082074739,0.590767971,1.302898888,0.61001962
6,Phlipper's Peace,16.3010805,-86.5995986,7/21/23,29.43,0.11,31.8,8.22,0.531,1.803,3.937,0.0808,0.0497,0.0023,0,0.4328,0.0381,0,0.3964,0.0017,0.0375,0,0,0,0,0.0031,0,0,0,0,0,0.0035,0.0046,0.0067,0.0135,0.0102,0,0,0,0,0.0026,0.0625,0.0185,0.0368,0.0115,0.3007,0.0808,0.4328,8,1.628418613,0.726843569,1.003913107,0.486155703
7,Angus' Aquarium,16.301813,-86.598984,7/30/23,29.52,0.1,31.4,8.34,0.04,0.519,3.058,0.0965,0.0416,0.017,0,0.4699,0.0195,0.002,0.3534,0,0.0423,0,0,0,0,0.0011,0,0,0.002,0.001,0.0161,0.002,0.002,0.0122,0,0.0176,0,0,0,0,0.0054,0.1268,0.0158,0.0199,0.0101,0.291,0.0965,0.4699,9,1.572663048,0.728122247,1.032123466,0.538390624
8,Thalassa Arg,16.363386,-86.520977,8/1/23,29.49,0.07,32.6,8.3,0.105,0.622,2.785,0.0777,0.0275,0.0011,0.0022,0.593,0.0728,0,0.2256,0,0.0258,0,0,0,0.0011,0.001,0,0,0,0,0,0.0157,0,0.0329,0,0,0,0,0,0.001,0.0283,0.1302,0.0176,0.0582,0.0068,0.3498,0.0777,0.593,6,1.22599114,0.667388137,1.173507646,0.587996757
9,International Diver,16.345032,-86.557044,8/1/23,29.51,0.12,32.8,8.27,0.295,0.827,2.685,0.1166,0.0489,0.0046,0,0.6153,0.0271,0,0.1874,0,0.0429,0,0,0,0,0.0023,0,0,0,0,0.0305,0.0153,0.0103,0.0107,0,0,0,0.0046,0,0,0.0831,0.1365,0.0489,0.0931,0.018,0.2334,0.1166,0.6153,7,1.623666482,0.760820444,1.564566215,0.756775466
10,Pillar Coral,16.3262758,-86.5808595,8/2/23,29.67,0.15,32.9,8.26,0.425,0.725,3.777,0.049,0.01,0.0136,0.0043,0.6562,0.0339,0.0011,0.2319,0,0.0234,0,0,0,0,0.0056,0,0,0,0,0.0056,0.0051,0,0.0092,0,0,0,0,0,0,0.0066,0.0532,0.0751,0.0417,0.0323,0.4473,0.049,0.6562,5,1.399086034,0.698508287,1.082626671,0.509117404
11,Overheat,16.3233846,-86.5829402,8/3/23,29.81,0.24,32.3,8.2,0.468,0.882,1.259,0.0879,0.0243,0.0048,0,0.5889,0.0531,0,0.241,0,0.0326,0,0.0044,0,0,0.0015,0,0.0011,0,0,0,0,0,0.0028,0.0034,0,0,0,0.0019,0.0403,0.0082,0.134,0.0411,0.0569,0.0165,0.3322,0.0879,0.5889,8,1.317712532,0.647122934,1.231094877,0.614827239